time,x1,x2,source,regime,target
1,-3.0,0.01402,lab-A,low,1.634235
2,-2.983287,0.10641,lab-B,low,1.521782
3,-2.966574,0.462023,lab-C,low,1.782895
4,-2.949861,0.63727,lab-D,low,1.868527
5,-2.933148,0.843612,lab-A,low,2.028491
6,-2.916435,0.928481,lab-B,low,2.055539
7,-2.899721,1.02243,lab-C,low,1.807411
8,-2.883008,0.940649,lab-D,low,1.890038
9,-2.866295,0.965714,lab-A,low,2.05609
10,-2.849582,0.858251,lab-B,low,2.039655
11,-2.832869,0.712716,lab-C,low,1.206051
12,-2.816156,0.587785,lab-D,low,1.767248
13,-2.799443,0.401115,lab-A,low,1.40674
14,-2.78273,0.160971,lab-B,low,1.467084
15,-2.766017,-0.01745,lab-C,low,1.395488
16,-2.749304,-0.253158,lab-D,low,1.581478
17,-2.732591,-0.529413,lab-A,low,1.402964
18,-2.715877,-0.691427,lab-B,low,1.58637
19,-2.699164,-0.856003,lab-C,low,1.540773
20,-2.682451,-1.001602,lab-D,low,1.681491
21,-2.665738,-1.022513,lab-A,low,1.87521
22,-2.649025,-0.995938,lab-B,low,1.874605
23,-2.632312,-1.000097,lab-C,low,1.537829
24,-2.615599,-0.820122,lab-D,low,1.512646
25,-2.598886,-0.722012,lab-A,low,1.445638
26,-2.582173,-0.569079,lab-B,low,1.368062
27,-2.56546,-0.318004,lab-C,low,0.837622
28,-2.548747,-0.180074,lab-D,low,1.116204
29,-2.532033,0.082817,lab-A,low,0.769747
30,-2.51532,0.447316,lab-B,low,1.22367
31,-2.498607,0.627039,lab-C,mid,1.481943
32,-2.481894,0.793601,lab-D,mid,1.474383
33,-2.465181,0.904232,lab-A,mid,1.62552
34,-2.448468,0.99586,lab-B,mid,1.623657
35,-2.431755,1.018929,lab-C,mid,1.574599
36,-2.415042,1.021811,lab-D,mid,1.741024
37,-2.398329,0.880983,lab-A,mid,1.755188
38,-2.381616,0.84179,lab-B,mid,1.688545
39,-2.364903,0.592552,lab-C,mid,0.95514
40,-2.348189,0.374638,lab-D,mid,1.205687
41,-2.331476,0.191944,lab-A,mid,1.107192
42,-2.314763,-0.075324,lab-B,mid,1.049221
43,-2.29805,-0.1922,lab-C,mid,1.038057
44,-2.281337,-0.483886,lab-D,mid,1.395619
45,-2.264624,-0.634799,lab-A,mid,1.300752
46,-2.247911,-0.870365,lab-B,mid,1.742788
47,-2.231198,-0.925919,lab-C,mid,1.399372
48,-2.214485,-1.048296,lab-D,mid,1.525434
49,-2.197772,-0.989704,lab-A,mid,1.511279
50,-2.181058,-0.962721,lab-B,mid,1.654045
51,-2.164345,-0.862399,lab-C,mid,1.055509
52,-2.147632,-0.744222,lab-D,mid,1.490497
53,-2.130919,-0.480585,lab-A,mid,0.782057
54,-2.114206,-0.372853,lab-B,mid,1.283307
55,-2.097493,-0.211794,lab-C,mid,0.962534
56,-2.08078,0.162398,lab-D,mid,0.746565
57,-2.064067,0.292647,lab-A,mid,0.740075
58,-2.047354,0.463497,lab-B,mid,1.038299
59,-2.030641,0.611905,lab-C,mid,0.873169
60,-2.013928,0.827275,lab-D,mid,1.021132
61,-1.997214,0.9535,lab-A,high,1.689834
62,-1.980501,0.99098,lab-B,high,1.811216
63,-1.963788,0.900037,lab-C,high,1.206635
64,-1.947075,1.022504,lab-D,high,1.556756
65,-1.930362,0.835248,lab-A,high,1.501877
66,-1.913649,0.704905,lab-B,high,1.566023
67,-1.896936,0.503483,lab-C,high,0.830027
68,-1.880223,0.321449,lab-D,high,1.212097
