pipe_length_m,pipe_diameter_m,flow_velocity_m_s,fluid_density_kg_m3,dynamic_viscosity_pa_s,pressure_drop_kpa
23.6708,0.10908,0.7172,984.37,0.001484074,1.1774
14.2886,0.15397,2.1039,1042.12,0.0006996897,3.3745
26.0407,0.16676,0.9516,924.18,0.001829304,1.3418
21.5263,0.06378,1.0331,935.02,0.001031138,3.9101
4.637,0.06627,2.713,1012.42,0.0003737759,4.7329
29.3174,0.12615,1.8752,951.15,0.001608263,7.0803
23.3119,0.04126,3.7265,997.31,0.0007589814,85.4561
24.0098,0.13753,1.617,941.94,0.0003924812,3.3635
5.5872,0.0624,3.0416,893.1,0.0004007966,6.8735
14.6108,0.02611,2.1138,999.04,0.001105571,32.1476
12.3823,0.02361,2.8098,876.23,0.0003282101,45.9143
27.9494,0.139,2.5989,889.72,0.0005167118,9.4623
20.0282,0.02273,2.1547,975.36,0.0003911051,44.8797
25.0373,0.03816,3.8252,999.45,0.0006926739,93.9252
14.4156,0.04317,1.6995,1028.94,0.000658432,10.1861
8.3627,0.02979,1.1203,904.52,0.0008074206,3.8776
17.5284,0.0412,2.8733,872.14,0.0005099365,32.3106
3.7869,0.11059,3.461,1041.21,0.0003188029,3.2994
25.1737,0.02069,0.6409,880.88,0.0009623196,6.9057
19.6866,0.13434,2.0737,889.53,0.0006095801,4.4894
23.2265,0.14374,3.6237,908.27,0.001032195,15.4121
11.9267,0.04713,3.1237,955.88,0.0003686828,25.4097
29.1795,0.02849,3.9713,1026.57,0.0003079446,193.3767
27.0074,0.07978,2.3599,1002.11,0.0004804996,17.177
23.7947,0.02635,2.81,991.63,0.0007133039,83.3913
7.4499,0.04634,1.5587,885.04,0.0006335787,3.6953
15.0682,0.18174,3.8164,921.54,0.001395522,8.9489
3.2265,0.19792,1.7822,945.68,0.0006143629,0.3893
6.3201,0.11834,3.0848,879.49,0.000820647,3.6336
21.1254,0.04093,1.911,904.69,0.0009249621,19.5329
22.8533,0.09743,2.4664,911.67,0.0003126859,10.0421
29.0903,0.10149,3.0192,875.46,0.0007971575,20.3414
11.1231,0.04885,2.2813,960.05,0.000577073,12.2228
12.3729,0.08748,3.6748,991.01,0.000667141,16.5221
15.1476,0.0205,1.9676,863.99,0.0003628682,34.5577
7.3052,0.03237,2.7648,946.22,0.001324628,18.8567
5.6378,0.06701,1.6983,1006.44,0.001792984,2.7114
15.3197,0.02916,1.9285,999.6,0.0003129455,22.3841
8.3535,0.0293,2.0402,1013.01,0.0009388529,14.6615
20.7548,0.13719,0.9403,939.65,0.001277789,1.217
14.2403,0.19506,0.821,1014.11,0.0005149638,0.4068
25.315,0.07194,2.8362,898.15,0.001336581,26.3934
21.6074,0.13807,2.7943,922.16,0.0009956899,10.105
10.7463,0.19559,2.8202,885.27,0.001748503,3.175
25.3033,0.02771,0.5692,943.5,0.001929211,5.101
24.5334,0.05614,1.6429,928.41,0.0003250952,10.4503
12.8494,0.04939,1.1923,898.19,0.0006977653,3.8459
10.0732,0.02405,3.2235,1000.36,0.0008468164,51.8947
21.1099,0.11386,3.5122,912.77,0.0003963002,18.1291
5.9131,0.0543,1.3634,904.56,0.0005677931,2.1495
7.5974,0.05893,2.8375,876.18,0.001953676,9.8583
2.2061,0.02829,0.9528,937.76,0.000309381,0.7193
24.0339,0.03034,1.463,910.59,0.0007078586,18.5339
20.6158,0.16149,0.9853,923.85,0.001483856,1.1646
21.7446,0.02217,1.4923,897.2,0.0005546083,26.39
23.8604,0.03419,2.8616,1002.63,0.0007454722,65.5086
14.8496,0.03918,3.6861,1036.0,0.001918411,64.4523
17.9248,0.06183,1.2088,949.59,0.0007385441,4.3409
5.9143,0.07717,2.3973,978.6,0.0003845816,4.1521
5.2068,0.06228,2.9549,1023.43,0.0003309292,7.3479
20.7153,0.02427,3.8352,1049.77,0.00180326,182.993
15.1907,0.03505,2.6352,972.7,0.0004967341,32.9092
17.8266,0.13951,1.3929,1027.96,0.0007805917,2.2936
23.42,0.08682,2.6892,1031.72,0.0003563291,17.333
19.7721,0.08916,1.6217,1008.29,0.0006701537,5.2871
17.5002,0.09359,3.9164,942.19,0.001751634,27.3101
17.6578,0.11586,1.8989,866.23,0.0007781507,4.2557
10.5106,0.02286,2.899,853.16,0.001893425,47.634
2.8629,0.04652,0.5813,945.44,0.0004902055,0.2325
14.2281,0.06927,1.9002,948.86,0.0007813048,6.7429
8.0084,0.0436,3.5629,931.47,0.001532132,24.1102
13.4388,0.1398,2.6358,963.63,0.0007021668,5.6413
25.8953,0.06076,2.0538,960.43,0.0005097924,17.4049
8.5503,0.1174,3.7758,1017.32,0.00152039,8.4249
3.6325,0.14225,3.4889,871.73,0.0006285714,2.1445
9.8787,0.06395,1.6278,895.04,0.0008210863,4.1269
10.2206,0.1624,2.4059,1008.6,0.001912892,3.1456
20.5337,0.0773,2.2144,1019.57,0.000427333,11.0681
17.5969,0.14168,2.7127,1048.96,0.0005314322,8.3981
23.9491,0.04381,1.6694,1024.58,0.0003182144,16.8349
20.6008,0.06307,1.3547,1027.98,0.0006308989,6.2182
13.3788,0.06799,3.6944,912.87,0.0004385854,22.2678
24.7926,0.02547,3.7336,930.33,0.001089954,164.4553
6.6752,0.05007,3.4516,903.62,0.0004231688,13.9158
2.6359,0.16534,3.9237,971.26,0.001079209,1.9905
